job_id,created_at,selection_started_at,selected_by_agent_at,scheduled_at,completed_at,exit_status,leader_id,reasoning_time
18,1761063386.954345,1761063404.479668,1761063404.501987,0,1761063404.7553248,0,2,1.3477054169998155
44,1761063389.058389,1761063421.742304,1761063422.275614,0,1761063439.50635,0,4,1.114166583000042
36,1761063388.020581,1761063406.553174,1761063407.0720131,0,1761063407.280801,0,1,2.375037957999666
15,1761063386.954259,1761063393.7339468,1761063394.765698,0,1761063397.709258,0,1,1.3903436250002414
24,1761063388.019986,1761063408.101443,1761063408.120203,0,1761063408.296125,0,5,1.4063195829985489
1,1761063386.953692,1761063404.479831,1761063404.5118852,0,1761063404.762262,0,2,1.048014541000157
100,1761063391.137312,1761063435.2903512,1761063435.8086882,0,1761063474.7544231,0,4,1.3499833749992831
57,1761063389.060677,1761063418.576077,1761063419.105269,0,1761063425.4540741,0,5,1.2928079579996847
91,1761063391.136131,1761063432.16837,1761063432.6896188,0,1761063432.973545,0,1,1.6922582500010321
26,1761063388.020093,1761063401.95228,1761063402.460192,0,1761063404.2778418,0,3,2.794176166999023
45,1761063389.058579,1761063418.576124,1761063419.123708,0,1761063426.9727879,0,5,1.2752122920010152
93,1761063391.136378,1761063438.372353,1761063438.884154,0,1761063439.006609,0,1,1.630116917000123
76,1761063390.097101,1761063441.493931,1761063441.523436,0,0,0,2,1.8479470840011345
53,1761063389.0599968,1761063421.7423308,1761063422.2846432,0,1761063444.5564458,0,4,1.1176788329994451
10,1761063386.954109,1761063393.733917,1761063394.758875,0,1761063395.194131,0,1,1.5434330419993785
65,1761063390.096212,1761063427.054917,1761063427.568529,0,1761063427.934901,0,1,2.000563667001188
80,1761063390.097416,1761063424.9672902,1761063425.4824262,0,0,0,2,1.2018683749993215
17,1761063386.954317,1761063395.79091,1761063396.8229818,0,1761063397.209111,0,5,1.2661720420001075
42,1761063389.0579531,1761063417.52404,1761063418.04636,0,1761063432.9983912,0,3,1.695276541999192
54,1761063389.0601752,1761063415.914707,1761063415.942692,0,1761063416.335328,0,4,1.4169061669999792
41,1761063389.0575418,1761063421.742351,1761063422.290702,0,1761063434.4736772,0,4,1.2454823329990177
92,1761063391.136255,1761063440.966031,1761063441.498348,0,1761063497.914078,0,4,1.202280334000534
96,1761063391.136771,1761063432.692,1761063432.704628,0,1761063444.104275,0,5,1.3981602089988883
51,1761063389.059646,1761063419.113707,1761063419.639488,0,1761063419.873864,0,1,1.8255722920002881
60,1761063389.061127,1761063410.703497,1761063411.224076,0,1761063411.30635,0,1,1.5785296670001117
55,1761063389.060359,1761063415.407849,1761063415.414628,0,1761063420.8853672,0,1,1.423889165998844
28,1761063388.02019,1761063409.156042,1761063409.169976,0,1761063411.815776,0,1,1.490065666999726
99,1761063391.137168,1761063434.24243,1761063434.7650619,0,1761063439.5100548,0,4,2.0701356249992386
13,1761063386.954201,1761063398.874086,1761063399.40374,0,1761063400.22853,0,1,1.6643343329997151
40,1761063388.020778,1761063406.5532138,1761063407.078238,0,1761063411.812256,0,1,1.4776289580004232
90,1761063391.136008,1761063438.372363,1761063438.888169,0,1761063442.0328882,0,1,1.3507803749998857
85,1761063391.1353018,1761063444.650012,1761063445.160989,0,1761063446.594162,0,3,1.4762678750012128
47,1761063389.0589561,1761063413.86083,1761063413.8668559,0,1761063414.344019,0,1,1.3720996249994641
83,1761063391.134954,1761063438.372371,1761063438.892185,0,1761063442.042979,0,1,1.4732250000015483
67,1761063390.0963771,1761063433.71942,1761063434.2590132,0,1761063437.0052228,0,2,2.1106967499999882
72,1761063390.0967848,1761063428.5820858,1761063428.5890079,0,1761063436.5342212,0,5,1.2826343340002495
35,1761063388.0205271,1761063414.376263,1761063414.39225,0,1761063414.8633149,0,5,1.789348708000034
16,1761063386.954287,1761063395.790932,1761063396.831137,0,1761063397.211391,0,5,1.3486170840005798
22,1761063388.01987,1761063414.376252,1761063414.390063,0,1761063414.861695,0,5,1.4256733749989507
19,1761063386.9543731,1761063395.790921,1761063396.827652,0,1761063397.7140322,0,5,1.573961167001471
61,1761063390.095814,1761063433.719401,1761063434.2561479,0,1761063436.9996328,0,2,1.0960444580014155
30,1761063388.020279,1761063411.238456,1761063411.757028,0,1761063411.815356,0,2,1.7049843330005388
29,1761063388.020235,1761063406.5531971,1761063407.075181,0,1761063407.2830138,0,1,1.78713933400104
89,1761063391.135881,1761063440.461424,1761063440.97696,0,1761063441.0238369,0,1,1.6727644999991753
95,1761063391.136628,1761063443.5902941,1761063444.105875,0,1761063459.680916,0,3,1.4549610410012974
23,1761063388.0199318,1761063408.1016388,1761063408.133125,0,1761063408.811064,0,5,1.4586334169998736
69,1761063390.096545,1761063424.9616058,1761063425.479908,0,1761063425.962444,0,5,1.623294042001362
79,1761063390.097335,1761063433.71937,1761063434.2515461,0,1761063436.992922,0,2,1.4711686669998016
3,1761063386.953823,1761063397.855973,1761063398.368601,0,1761063401.238286,0,5,1.6459715420005523
50,1761063389.0594828,1761063420.690198,1761063421.72434,0,1761063423.941366,0,5,2.0603572920008446
9,1761063386.95407,1761063393.7339342,1761063394.7633011,0,1761063397.7069461,0,1,1.2575992500005668
7,1761063386.953991,1761063396.307287,1761063397.3305721,0,1761063397.7069492,0,2,1.7673569159996987
64,1761063390.0961332,1761063423.894069,1761063424.43286,0,1761063424.911736,0,1,1.1913930829996389
6,1761063386.953952,1761063396.30732,1761063397.333626,0,1761063397.709205,0,2,1.5509217079998052
98,1761063391.13703,1761063434.242406,1761063434.760148,0,1761063439.508218,0,4,2.9141835419995914
59,1761063389.061026,1761063421.742369,1761063422.295203,0,1761063440.5156019,0,4,1.7273824580006476
5,1761063386.953912,1761063396.307306,1761063397.332142,0,1761063398.2139049,0,2,2.093200457999046
82,1761063391.1347468,1761063438.889787,1761063439.414848,0,1761063473.81728,0,5,1.676873667000109
32,1761063388.020372,1761063406.5496771,1761063407.068605,0,1761063432.9959629,0,3,1.5216662920011004
86,1761063391.1354518,1761063429.616977,1761063430.6361768,0,1761063458.7152178,0,5,1.5074843340007646
97,1761063391.136905,1761063441.494051,1761063441.528199,0,1761063442.046171,0,2,1.398250125001141
46,1761063389.058778,1761063420.160021,1761063420.671652,0,1761063420.8764071,0,2,2.089747666999756
66,1761063390.096294,1761063424.9673102,1761063425.485041,0,1761063458.1891499,0,2,1.7260917500007054
87,1761063391.135603,1761063444.6278,1761063444.644185,0,1761063445.06664,0,1,1.4598874999992404
33,1761063388.020421,1761063408.101554,1761063408.127764,0,1761063408.2997901,0,5,1.9427072090002184
74,1761063390.0969422,1761063433.719439,1761063434.261694,0,1761063437.009995,0,2,2.0076729169995815
81,1761063391.134448,1761063442.0269141,1761063442.046941,0,1761063471.3052769,0,5,1.7814948329996696
48,1761063389.0591319,1761063416.453164,1761063416.4802518,0,1761063436.984734,0,2,1.5443257080005424
14,1761063386.954228,1761063404.479787,1761063404.508079,0,1761063470.28604,0,2,1.8117725000010978
75,1761063390.09702,1761063429.096396,1761063429.607699,0,1761063451.1245859,0,3,1.4504170830005023
12,1761063386.954172,1761063391.178735,1761063391.6849012,0,1761063392.1786299,0,3,1.8761037080003007
27,1761063388.020143,1761063411.2384791,1761063411.765695,0,1761063412.322742,0,2,1.584547417000067
25,1761063388.020035,1761063411.756855,1761063412.2807639,0,1761063412.307939,0,4,1.514617917000578
78,1761063390.097256,1761063441.493969,1761063441.52614,0,1761063441.543092,0,2,1.5842044999990321
43,1761063389.058193,1761063415.9147499,1761063415.945579,0,1761063420.870177,0,4,1.6381452919995354
71,1761063390.09671,1761063423.865952,1761063423.893376,0,1761063423.924884,0,3,1.7479870410006697
2,1761063386.953774,1761063398.874033,1761063399.397506,0,1761063399.721778,0,1,1.5915616669990413
52,1761063389.059816,1761063413.863838,1761063413.869714,0,1761063414.3626602,0,3,1.2411694999991596
38,1761063388.02068,1761063411.756883,1761063412.288204,0,1761063412.3107321,0,4,2.1070164169996133
39,1761063388.020729,1761063414.376241,1761063414.3875442,0,1761063414.860126,0,5,1.1071357500004524
37,1761063388.0206301,1761063400.420554,1761063400.9320588,0,1761063403.2606359,0,5,1.6014172499999404
84,1761063391.135126,1761063436.8391979,1761063437.35086,0,1761063442.592694,0,5,2.5789622089996556
56,1761063389.0605178,1761063416.453095,1761063416.4776242,0,1761063432.460918,0,2,1.203867291998904
8,1761063386.954031,1761063393.2196832,1761063393.736353,0,1761063403.267191,0,3,1.3612615000001824
73,1761063390.096865,1761063422.825005,1761063423.3478699,0,1761063445.0614982,0,4,0.9913882090004336
58,1761063389.0608451,1761063418.5761049,1761063419.115956,0,1761063419.4013062,0,5,1.0997190830003092
63,1761063390.09605,1761063421.230017,1761063421.7584589,0,1761063434.003106,0,3,1.6033482079983514
4,1761063386.953876,1761063398.874064,1761063399.400851,0,1761063399.7241669,0,1,1.5374015830002463
21,1761063388.0197692,1761063408.101603,1761063408.131006,0,1761063408.3024518,0,5,2.126185416000226
34,1761063388.020473,1761063414.376226,1761063414.3847501,0,1761063414.8582258,0,5,1.4592908750000788
70,1761063390.09663,1761063424.949684,1761063425.479939,0,1761063425.90946,0,4,1.5210255830006645
49,1761063389.059305,1761063416.453247,1761063416.4831848,0,1761063489.4148932,0,2,1.5088528340002085
77,1761063390.097179,1761063441.493827,1761063441.519758,0,0,0,2,1.1718219159993168
68,1761063390.096458,1761063428.582077,1761063428.5865018,0,1761063442.088471,0,5,1.8690219999989495
88,1761063391.135733,1761063443.5903392,1761063444.112602,0,1761063444.574812,0,3,1.9087685829999828
94,1761063391.136502,1761063433.739421,1761063434.25362,0,1761063434.483103,0,1,1.3395058330006577
62,1761063390.095948,1761063422.807936,1761063423.333361,0,1761063475.333994,0,5,1.4227392920001876
11,1761063386.954139,1761063395.790895,1761063396.813874,0,1761063397.206673,0,5,2.0845422499987762
31,1761063388.0203252,1761063411.2384949,1761063411.771571,0,1761063412.324973,0,2,1.8042042079996463
20,1761063386.9544032,1761063406.5531251,1761063407.068894,0,1761063407.278697,0,1,1.466254167000443
